symbol,organ_name
SKH,CTCP Nước giải khát Sanest Khánh Hòa
SKN,CTCP Nước giải khát Sanna Khánh Hòa
SKV,CTCP Nước giải khát Yến sào Khánh Hòa
SLD,CTCP Địa ốc Sacom
SLS,CTCP Mía Đường Sơn La
SMA,CTCP Thiết bị Phụ tùng Sài Gòn
SMB,CTCP Bia Sài Gòn - Miền Trung
SMC,CTCP Đầu tư Thương mại SMC
SMN,CTCP Sách và Thiết bị Giáo dục Miền Nam
SMT,CTCP Sametel
SNC,CTCP Xuất nhập khẩu Thủy sản Năm Căn
SNZ,Tổng Công ty cổ phần Phát triển Khu Công nghiệp
SP2,CTCP Thủy điện Sử Pán 2
SPB,CTCP Sợi Phú Bài
SPC,CTCP Bảo vệ Thực vật Sài Gòn
SPD,CTCP Xuất nhập khẩu Thủy sản Miền Trung
SPH,CTCP Xuất nhập khẩu Thủy sản Hà Nội
SPI,CTCP Spiral Galaxy
SPM,CTCP SPM
SPV,CTCP Thủy Đặc sản
SRA,CTCP Sara Việt Nam
SRB,CTCP Tập đoàn Sara
SRC,CTCP Cao su Sao Vàng
SRF,CTCP SEAREFICO
SSB,Ngân hàng TMCP Đông Nam Á
SSC,CTCP Giống cây trồng Miền Nam
SSG,CTCP Vận tải biển Hải Âu
SSH,CTCP Phát triển Sunshine Homes
SSI,CTCP Chứng khoán SSI
SSM,CTCP Chế tạo kết cấu Thép Vneco.SSM
ST8,CTCP Tập đoàn ST8
STB,Ngân hàng TMCP Sài Gòn Tài Lộc
STC,CTCP Sách và Thiết bị Trường học Thành phố Hồ Chí Minh
STD,CTCP Bia - Nước giải khát Sài Gòn - Tây Đô
STG,CTCP Kho vận Miền Nam
STH,CTCP STH Holdings
STK,CTCP Sợi Thế Kỷ
STP,CTCP Công nghiệp Thương mại Sông Đà
STS,CTCP Dịch vụ Vận tải Sài Gòn
STT,CTCP Vận chuyển Sài Gòn Tourist
STW,CTCP Cấp nước Sóc Trăng
SVC,CTCP Dịch vụ Tổng hợp Sài Gòn
SVD,CTCP Đầu tư & Thương mại Vũ Đăng
SVG,CTCP Hơi Kỹ nghệ Que hàn
SVH,CTCP Thủy điện Sông Vàng
SVN,CTCP Tập đoàn Vexilla Việt Nam
SVT,CTCP Công nghệ Sài Gòn Viễn Đông
SWC,Tổng Công ty cổ phần Đường sông Miền Nam
SZB,CTCP Sonadezi Long Bình
SZC,CTCP Sonadezi Châu Đức
SZE,CTCP Môi trường Sonadezi
SZG,CTCP Sonadezi Giang Điền
SZL,CTCP Sonadezi Long Thành
TA6,CTCP Đầu tư và Xây lắp Thành An 665
TA9,CTCP Xây lắp Thành An 96
TAB,CTCP Freco Việt Nam
TAH,CTCP Thương mại Dịch vụ Giấy Thuận An
TAL,CTCP Đầu tư Bất động sản Taseco
TAR,CTCP Nông nghiệp Công nghệ cao Trung An
TAW,CTCP Cấp nước Trung An
TBC,CTCP Thủy điện Thác Bà
TBD,Tổng Công ty Thiết bị Điện Đông Anh - CTCP
TBR,CTCP Địa ốc Tân Bình
TBW,CTCP Nước sạch Thái Bình
TCB,Ngân hàng TMCP Kỹ thương Việt Nam
TCD,CTCP Tập đoàn Xây dựng TRACODI
TCH,CTCP Đầu tư Dịch vụ Tài chính Hoàng Huy
TCI,CTCP Chứng khoán Thành Công
TCJ,CTCP Tô Châu
TCK,Tổng Công ty Cơ khí Xây dựng - CTCP
TCL,CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng
TCM,CTCP Dệt may - Đầu tư - Thương mại Thành Công
TCO,CTCP Janus Group
TCR,CTCP Công nghiệp Gốm sứ Taicera
TCT,CTCP Cáp treo Núi Bà Tây Ninh
TCW,CTCP Kho Vận Tân Cảng
TCX,CTCP Chứng khoán Kỹ Thương
TD6,CTCP Than Đèo Nai - Cọc Sáu - TKV
TDB,CTCP Thủy điện Định Bình
TDC,CTCP Kinh doanh và Phát triển Bình Dương
TDF,CTCP Trung Đô
TDG,CTCP Đầu tư TDG Global
TDH,CTCP Phát triển Nhà Thủ Đức
TDM,CTCP Nước Thủ Dầu Một
TDP,CTCP Thuận Đức
TDS,CTCP Thép Thủ Đức - VNSTEEL
TDT,CTCP Đầu tư và Phát triển TDT
TDW,CTCP Cấp nước Thủ Đức
TED,Tổng công ty Tư vấn thiết kế Giao thông vận tải - CТСР
TEG,CTCP Trường Thành Energy Group
TET,CTCP Bất động sản Pristie
TFC,CTCP Trang
TGG,CTCP The Golden Group
TGP,CTCP Trường Phú
TH1,CTCP Xuất nhập khẩu Tổng hợp I Việt Nam
THB,CTCP Bia Hà Nội - Thanh Hóa
THD,CTCP Thaiholdings
THG,CTCP Đầu tư và Xây dựng Tiền Giang
THM,CTCP Tứ Hải Hà Nam
THN,CTCP Cấp nước Thanh Hóa
THP,CTCP Thủy sản và Thương mại Thuận Phước
THS,CTCP Thanh Hoa - Sông Đà
THT,CTCP Than Hà Tu - Vinacomin
THU,CTCP Môi trường và Công trình Đô thị Thanh Hóa
THW,CTCP Cấp nước Tân Hòa
TID,CTCP Tổng Công ty Tín Nghĩa
TIE,CTCP TIE
TIG,CTCP Tập đoàn Đầu tư Thăng Long
TIN,Công Ty Tài chính tổng hợp cổ phần Tín Việt
TIP,CTCP Phát triển Khu Công nghiệp Tín Nghĩa
TIS,CTCP Gang thép Thái Nguyên
TIX,CTCP Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình
TJC,CTCP Dịch vụ Vận tải và Thương mại
TKA,CTCP Bao bì Tân Khánh An
TKU,CTCP Công nghiệp Tung Kuang
TL4,Tổng Công ty cổ phần Xây dựng Thủy Lợi 4 - CTCP
TLD,CTCP Đầu tư Xây dựng và Phát triển Đô thị Thăng Long
TLG,CTCP Tập đoàn Thiên Long
TLH,CTCP Tập đoàn Thép Tiến Lên
TLP,Tổng Công ty Thương mại Xuất nhập khẩu Thanh Lễ - CTCP
TMB,CTCP Kinh doanh Than Miền Bắc - Vinacomin
TMC,CTCP Thương mại Xuất nhập khẩu Thủ Đức
TMG,CTCP Kim loại màu Thái Nguyên - Vimico
TMP,CTCP Thủy điện Thác Mơ
TMS,CTCP Transimex
TMT,CTCP Ô tô TMT
TMW,CTCP Tổng hợp Gỗ Tân Mai
TMX,CTCP VICEM Thương mại Xi măng
TN1,CTCP Rox Key Holdings
TNA,CTCP Thương mại Xuất nhập khẩu Thiên Nam
TNB,CTCP Thép Nhà Bè - VNSTEEL
TNC,CTCP Cao su Thống Nhất
TNG,CTCP Đầu tư và Thương mại TNG
TNH,CTCP Tập đoàn Bệnh viện TNH
TNI,CTCP Tập đoàn Thành Nam
TNP,CTCP Cảng Thị Nại
TNS,CTCP Thép tấm lá Thống Nhất
TNT,CTCP Tập đoàn TNT
TNW,CTCP Nước sạch Thái Nguyên
TOP,CTCP Phân phối Top One
TOS,CTCP Dịch vụ biển Tân Cảng
TOT,CTCP Transimex Logistics
TOW,CTCP Cấp nước Trà Nóc - Ô Môn
TPB,Ngân hàng TMCP Tiên Phong
TPC,CTCP Nhựa Tân Đại Hưng
TPP,CTCP Tân Phú Việt Nam
TPS,CTCP Bến Bãi Vận tải Sài Gòn
TQW,CTCP Cấp thoát nước Tuyên Quang
TR1,CTCP Vận Tải 1 Traco
TRA,CTCP Traphaco
TRC,CTCP Cao su Tây Ninh
TRS,CTCP Vận tải và Dịch vụ Hàng hải
TRT,CTCP RedstarCera
TRV,CTCP Vận tải Đường sắt
TS3,CTCP Trường Sơn 532
TSA,CTCP Đầu tư và Xây lắp Trường Sơn
TSB,CTCP Ắc quy Tia Sáng
TSC,CTCP Vật tư Kỹ thuật nông nghiệp Cần Thơ
TSD,CTCP Du lịch Trường Sơn COECCO
TSG,CTCP Thông tin Tín hiệu Đường sắt Sài Gòn
TSJ,CTCP Du lịch Dịch vụ Hà Nội
TST,CTCP Dịch vụ Kỹ Thuật Viễn thông
TT6,CTCP Tập đoàn Tiến Thịnh
TTA,CTCP Đầu tư Xây dựng và Phát triển Trường Thành
TTB,CTCP TTBGroup
TTC,CTCP Gạch men Thanh Thanh
TTD,CTCP Bệnh viện tim Tâm Đức
TTE,CTCP Đầu tư Năng lượng Trường Thịnh
TTF,CTCP Tập đoàn Kỹ nghệ gỗ Trường Thành
TTG,CTCP Royal Healthtech TTG
TTH,CTCP Thương mại và Dịch vụ Tiến Thành
TTL,Tổng Công ty Thăng Long - CTCP
TTN,CTCP Công nghệ và Truyền thông Việt Nam
TTS,CTCP Cán Thép Thái Trung
TTT,CTCP Du lịch - Thương mại Tây Ninh
TTZ,CTCP Đầu tư Xây dựng và Công nghệ Tiến Trung
TUG,CTCP Lai Dắt và Vận tải Cảng Hải Phòng
TV1,CTCP Tư vấn Xây dựng Điện 1
TV2,CTCP Tư vấn Xây dựng Điện 2
TV3,CTCP Tư vấn Xây dựng Điện 3
TV4,CTCP Tư vấn Xây dựng Điện 4
TV6,CTCP Tập đoàn EMA Land
TVA,CTCP Sứ Viglacera Thanh Trì
TVB,CTCP Chứng khoán T-Cap
TVC,CTCP Tập đoàn Quản lý tài sản T-Corp
TVD,CTCP Than Vàng Danh - Vinacomin
TVG,CTCP Tư vấn Đầu tư và Xây dựng Giao thông Vận tải
TVH,CTCP Tư vấn Xây dựng công trình Hàng hải
TVM,CTCP Tư vấn Đầu tư mỏ và Công Nghiệp - Vinacomin
TVN,Tổng Công ty Thép Việt Nam - CTCP
TVS,CTCP Chứng khoán Thiên Việt
TVT,Tổng Công ty Việt Thắng - CTCP
TW3,CTCP Dược Trung ương 3
TXM,CTCP VICEM Thạch cao Xi măng
TYA,CTCP Dây và Cáp Điện Taya Việt Nam
UCT,CTCP Đô thị Cần Thơ
UDC,CTCP Đầu tư Xây dựng UDCons
UDJ,CTCP Phát triển Đô thị
UDL,CTCP Đô thị và Môi trường Đắk Lắk
UEM,CTCP Cơ điện Uông Bí - Vinacomin
UIC,CTCP Đầu tư Phát triển Nhà và Đô thị IDICO
ULG,CTCP Logistics U&I
UMC,CTCP Công trình Đô thị Nam Định
UNI,CTCP Đầu Tư Và Phát Triển Sao Mai Việt
UPC,CTCP Phát triển Công viên Cây xanh và Đô thị Vũng Tàu
UPH,CTCP Dược phẩm TW 25
UPS,CTCP Chứng khoán UP
USC,CTCP Khảo sát và Xây dựng -USCO
USD,CTCP Công trình Đô thị Sóc Trăng
UTT,CTCP Môi trường Nam Thành
UXC,CTCP Chế biến Thủy sản Út Xi
V12,CTCP Xây dựng Số 12
V21,CTCP Vinaconex 21
VAB,Ngân hàng TMCP Việt Á
VAF,CTCP Phân lân Nung chảy Văn Điển
VAV,CTCP VIWACO
VBB,Ngân hàng TMCP Việt Nam Thương Tín
VBC,CTCP Nhựa - Bao bì Vinh
VBG,CTCP Địa chất Việt Bắc - TKV
VBH,CTCP Điện tử Bình Hòa
VBT,CTCP Vận tải Bảo Thắng
VC1,CTCP Xây dựng Số 1
VC2,CTCP Đầu tư và Xây dựng Vina2
VC3,CTCP Tập đoàn Nam Mê Kông
VC6,CTCP Xây dựng và Đầu tư Visicons
VC7,CTCP Tập đoàn BGI
VC9,CTCP Xây dựng số 9 - VC9
VCA,CTCP Thép VICASA
VCB,Ngân hàng TMCP Ngoại thương Việt Nam
VCC,CTCP Vinaconex 25
VCE,CTCP Xây lắp Môi trường
VCF,CTCP Vinacafé Biên Hòa
VCG,Tổng Công ty cổ phần Xuất nhập khẩu và Xây dựng Việt Nam
VCI,CTCP Chứng khoán Vietcap
VCK,CTCP Chứng khoán VPS
VCM,CTCP BV Life
VCP,CTCP Xây Dựng Và Năng Lượng VCP
VCR,CTCP Đầu tư và Phát triển Du lịch ITC
VCS,CTCP Vicostone
VCT,CTCP Tư vấn Xây dựng Vinaconex
VCX,CTCP Xi măng Yên Bình
VDB,CTCP Vận tải và Chế biến Than Đông Bắc
VDG,CTCP Vạn Đạt Group
VDL,CTCP Thực phẩm Lâm Đồng
VDN,CTCP Vinatex Đà Nẵng
VDP,CTCP Dược phẩm Trung ương VIDIPHA
VDS,CTCP Chứng khoán Rồng Việt
VDT,CTCP Lưới thép Bình Tây
VE1,CTCP Xây dựng Điện VNECO 1
VE3,CTCP Xây dựng Điện VNECO 3
VE4,CTCP Xây dựng Điện VNECO4
VE8,CTCP Xây dựng Điện VNECO 8
VE9,CTCP Đầu tư và Xây dựng VNECO 9
VEA,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP
VEC,Tổng Công ty cổ phần Điện tử và Tin học Việt Nam
VEF,CTCP Trung tâm Hội chợ Triển lãm Việt Nam
VES,CTCP Tập đoàn VinaLiving
VET,CTCP Thuốc thú y Trung ương Navetco
VFC,CTCP Vinafco
VFG,CTCP Khử trùng Việt Nam
VFR,CTCP Vận tải và Thuê tàu
VFS,CTCP Chứng khoán Nhất Việt
VGC,Tổng Công ty Viglacera - CTCP
VGG,Tổng Công ty cổ phần May Việt Tiến
VGI,Tổng Công ty cổ phần Đầu tư Quốc tế Viettel
VGL,CTCP Mạ Kẽm Công Nghiệp Vingal - Vnsteel
VGP,CTCP Cảng Rau Quả
VGR,CTCP Cảng Xanh Vip
VGS,CTCP Ống thép Việt - Đức VG PIPE
VGT,Tập đoàn Dệt May Việt Nam
VGV,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP
VHC,CTCP Vĩnh Hoàn
VHD,CTCP Đầu tư Phát triển Nhà và Đô Thị VINAHUD
VHE,CTCP Dược liệu và Thực phẩm Việt Nam
VHF,CTCP Xây dựng và Chế biến Lương thực Vĩnh Hà
VHG,CTCP Đầu tư Phát triển Việt Trung Nam
VHH,CTCP Đầu tư Kinh doanh Nhà Thành Đạt
VHL,CTCP Viglacera Hạ Long
VHM,CTCP Vinhomes
VIB,Ngân hàng TMCP Quốc tế Việt Nam
VIC,Tập đoàn VINGROUP - CTCP
VID,CTCP Đầu tư Phát triển Thương mại Viễn Đông
VIE,CTCP Công nghệ Viễn thông VITECO
VIF,Tổng Công ty Lâm nghiệp Việt Nam - CTCP
VIG,CTCP Chứng khoán Đầu tư tài chính Việt Nam
VIM,CTCP Khoáng sản Viglacera
VIN,CTCP Giao nhận Kho vận Ngoại Thương Việt Nam
VIP,CTCP Vận tải Xăng dầu VIPCO
VIR,CTCP Du lịch Quốc tế Vũng Tàu
VIT,CTCP Viglacera Tiên Sơn
VIW,Tổng Công ty Đầu tư Nước và Môi trường Việt Nam
VIX,CTCP Chứng khoán VIX
VJC,CTCP Hàng không Vietjet
VKC,CTCP VKC Holdings
VLA,CTCP Đầu tư và Phát triển Công nghệ Văn Lang
VLB,CTCP Xây dựng và Sản xuất Vật liệu xây dựng Biên Hòa
VLC,Tổng Công ty Chăn Nuôi Việt Nam - CTCP
VLG,CTCP VIMC Logistics
VLP,CTCP Công trình Công cộng Vĩnh Long
VLS,CTCP Sản xuất Thép Việt Long
VLW,CTCP Cấp nước Vĩnh Long
VMA,CTCP Công nghiệp Ô tô - Vinacomin
VMC,CTCP Vimeco
VMD,CTCP Y Dược phẩm Vimedimex
VMG,CTCP Thương mại và Dịch vụ Dầu khí Vũng Tàu
VMK,CTCP Vimarko
VMS,CTCP Phát triển Hàng Hải
VMT,CTCP Giao nhận Vận tải miền Trung
VNA,CTCP Vận tải Biển Vinaship
VNB,CTCP Sách Việt Nam
VNC,CTCP Tập đoàn Vinacontrol
VND,CTCP Chứng khoán VNDIRECT
VNE,Tổng Công ty cổ phần Xây dựng Điện Việt Nam
VNF,CTCP Vinafreight
VNG,CTCP Du lịch Thành Thành Công
VNH,CTCP Đầu tư Việt Việt Nhật
VNI,CTCP Đầu tư Bất động sản Việt Nam
VNL,CTCP Logistics Vinalink
VNM,CTCP Sữa Việt Nam
VNP,CTCP Nhựa Việt Nam
VNR,Tổng Công ty cổ phần Tái Bảo hiểm Quốc gia Việt Nam
VNS,CTCP Ánh Dương Việt Nam
VNT,CTCP Giao nhận Vận tải Ngoại thương
VNX,CTCP Quảng cáo và Hội chợ Thương mại
VNY,CTCP Thuốc thú y Trung ương I
VNZ,CTCP Tập đoàn VNG
VOS,CTCP Vận tải Biển Việt Nam
VPA,CTCP Vận tải Hoá Dầu VP
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng
VPC,CTCP Đầu tư và Phát triển Năng lượng Việt Nam
VPD,CTCP Phát triển Điện lực Việt Nam
VPG,CTCP Đầu tư Thương mại Xuất nhập khẩu Việt Phát
VPH,CTCP Vạn Phát Hưng
VPI,CTCP Phát triển Bất động sản Văn Phú
VPL,CTCP Vinpearl
VPR,CTCP VinaPrint
VPS,CTCP Thuốc sát trùng Việt Nam
VPW,CTCP Cấp thoát nước Số 1 Vĩnh Phúc
VPX,CTCP Chứng khoán VPBank
VQC,CTCP Giám định - Vinacomin
VRC,CTCP Bất động sản và Đầu tư VRC
VRE,CTCP Vincom Retail
VRG,CTCP Phát triển Đô thị và Khu công nghiệp Cao su Việt Nam
VSA,CTCP Đại lý Hàng hải Việt Nam
VSC,CTCP Container Việt Nam
VSE,CTCP Dịch vụ Đường cao tốc Việt Nam
VSF,Tổng Công ty Lương thực Miền Nam - CTCP
VSG,CTCP Container Phía Nam
VSH,CTCP Thủy điện Vĩnh Sơn - Sông Hinh
VSI,CTCP Đầu tư và Xây dựng Cấp thoát nước
VSM,CTCP Container Miền Trung
VSN,CTCP Việt Nam Kỹ nghệ Súc sản
VST,CTCP Vận tải và Thuê tàu biển Việt Nam
VTA,CTCP Vitaly
VTB,CTCP Viettronics Tân Bình
VTC,CTCP Viễn thông VTC
VTD,CTCP Vietourist Holdings
VTE,CTCP VINACAP Kim Long
VTG,CTCP Du lịch Tỉnh Bà Rịa - Vũng Tàu
VTH,CTCP Dây cáp Điện Việt Thái
VTI,CTCP Sản xuất - Xuất nhập khẩu Dệt may
VTJ,CTCP Thương mại và Đầu tư VI NA TA BA
VTK,CTCP Tư Vấn Và Dịch Vụ Viettel
VTM,CTCP Vận tải và Đưa đón thợ mỏ - VINACOMIN
VTO,CTCP Vận tải Xăng dầu Vitaco
VTP,Tổng Công ty cổ phần Bưu chính Viettel
VTQ,CTCP Việt Trung Quảng Bình
VTR,CTCP Du lịch Vietravel
VTS,CTCP Gạch ngói Từ Sơn
VTV,CTCP Năng lượng và Môi trường VICEM
VTX,CTCP Vận tải Đa Phương Thức Vietranstimex
VTZ,CTCP Sản xuất và Thương mại Nhựa Việt Thành
VUA,CTCP Chứng khoán Stanley Brothers
VVN,Tổng Công ty cổ phần Xây dựng Công nghiệp Việt Nam
VVS,CTCP Đầu tư phát triển máy Việt Nam
VW3,CTCP Viwaseen3
VWS,CTCP Nước và Môi Trường Việt Nam
VXB,CTCP Vật liệu Xây dựng Bến Tre
VXP,CTCP Thuốc Thú y Trung ương VETVACO
VXT,CTCP Kho vận và Dịch vụ Thương mại
WCS,CTCP Bến xe Miền Tây
WSB,CTCP Bia Sài Gòn - Miền Tây
WSS,CTCP Chứng khoán Phố Wall
WTC,CTCP Vận tải Thủy - Vinacomin
X20,CTCP X20
X26,CTCP 26
X77,CTCP Thành An 77
XDH,CTCP Đầu tư Xây dựng Dân dụng Hà Nội
XHC,CTCP Xuân Hòa Việt Nam
XLV,CTCP Xây Lắp và Dịch vụ Sông Đà
XMC,CTCP Đầu tư và Xây dựng Xuân Mai
XMD,CTCP Xuân Mai - Đạo Tú
XMP,CTCP Thủy điện Xuân Minh
XPH,CTCP Xà phòng Hà Nội
YBC,CTCP Xi măng và Khoáng sản Yên Bái
YBM,CTCP YBM
YEG,CTCP Tập đoàn Yeah1
YTC,CTCP Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh
